#SPRITE 4
NPCW 4
0	5	25	32	29
1	39	24	32	29
2	73	25	37	29
3	112	25	37	29
NPCA 5
0	152	17	38	36
1	198	17	38	36
2	239	17	40	37
3	281	16	44	37
4	327	16	44	37
NPCC 25
0	6	397	20	39
1	29	397	22	39
2	54	397	25	39
3	82	396	25	39
4	108	397	25	39
5	132	397	25	39
6	157	397	35	39
7	193	397	41	39
8	236	397	47	39
9	282	397	47	39
10	328	397	47	39
11	5	440	24	39
12	29	440	24	39
13	54	440	25	39
14	82	440	32	39
15	115	440	34	39
16	149	440	32	39
17	181	440	32	39
18	215	440	32	39
19	250	440	39	39
20	290	438	24	41
21	314	438	24	41
22	339	438	26	41
23	368	439	32	40
24	401	443	26	36
NPCR 8
0	6	482	40	42
1	45	481	40	42
2	86	482	34	42
3	122	480	39	42
4	162	481	44	42
5	206	481	41	42
6	247	481	39	42
7	286	480	42	42
